Orig LTV Description,(Multiple Items),,,,
Refi Incentive(1/10th bp) Description,(All),,,,
,,,,,
Average of CPR 1M ,Column Labels,,,,
Row Labels,<=550,>550 and <=680,>680 and <=740,>740,N.A.
8/1/17,-1.538272479,-3.242941194,-2.555861857,-2.791497468,
9/1/17,7.765060373,9.923244281,9.41514216,8.913653732,5.829961374
10/1/17,6.181168379,9.385373109,9.626737776,9.222082691,2.182936175
11/1/17,6.581459385,8.873800342,8.811158915,8.520584015,3.036992204
12/1/17,6.61756171,8.804612358,9.205338573,8.085058325,5.758363253
1/1/18,6.417180494,7.543431055,7.431621642,7.66774856,3.218418094
2/1/18,4.430934572,7.971634648,7.543799637,6.784391557,5.421762629
3/1/18,5.287422578,8.957710583,8.659968445,8.546364451,4.74894387
4/1/18,6.740115099,9.171033261,8.615536879,9.92846595,4.844536462
5/1/18,9.336169331,10.06435865,9.229791342,10.16941116,4.636839103
6/1/18,9.30572531,10.58826818,9.65776512,10.20400659,4.448324803
7/1/18,7.150510586,10.42308154,9.48065867,9.308019899,4.062870194
8/1/18,7.096307085,10.87534681,9.300881231,10.20982412,5.332178642
9/1/18,6.022539675,8.867432371,8.307684342,7.906208148,2.481398096
10/1/18,6.491754987,9.045899295,7.930740367,8.509474448,5.310163069
11/1/18,5.893424846,8.658618319,7.443661799,7.376983631,4.639692946
12/1/18,7.671179074,8.067139319,7.449893096,6.849767499,4.631701194
1/1/19,5.145986647,7.088737832,6.936565883,6.974568776,3.257121218
2/1/19,6.74575705,7.467639089,6.779933676,7.184763277,3.212903127
3/1/19,6.494181604,8.539173338,8.13568715,8.839649659,5.006778364
4/1/19,8.289441277,10.39375813,9.810892271,10.39698402,4.763169595
5/1/19,6.542856433,10.94202278,11.5098976,12.29243214,9.143399239
6/1/19,6.117767308,10.45490856,9.638923341,10.55189858,5.604493965
7/1/19,8.664457786,10.64444228,11.56856732,12.54688264,7.654729415
8/1/19,5.677897166,12.80037745,12.23355027,12.83213986,7.667564075
9/1/19,7.49358138,11.55285458,13.21464795,14.02237586,9.072906931
10/1/19,7.275804874,12.59286025,13.64224202,13.95920613,9.056847874
11/1/19,5.292599502,11.40867921,12.46347,12.38764874,9.372622156
12/1/19,5.62096707,11.42087605,11.74577005,12.5271946,8.524901712
1/1/20,6.174694934,9.732299323,11.01588815,11.32386122,7.413358257
2/1/20,5.337485245,10.17072275,12.714748,12.21775661,9.45246429
3/1/20,8.213349546,12.32565375,14.28659594,16.5040282,11.85028199
4/1/20,6.291217579,13.30575232,17.33845072,19.18270824,15.02033185
5/1/20,6.443292229,13.47012305,16.73098146,18.564599,14.76887175
6/1/20,5.127293089,15.37201977,21.86692936,22.5576023,17.34671335
7/1/20,6.233493077,14.74521227,21.73812743,26.05550369,20.0742878
8/1/20,8.987236204,16.97048652,20.69642626,24.94570405,16.59501075
9/1/20,6.369819063,16.03402603,21.31384429,24.89662347,18.37175356
10/1/20,6.45288244,18.57941699,21.22562335,27.34978515,19.09889914
11/1/20,9.526534145,16.91345137,23.09530777,22.79831852,16.79162248
12/1/20,9.539348479,17.75940885,21.95106703,22.61095362,19.50316537
1/1/21,10.51362358,16.30941763,18.73788273,24.89073526,16.44994546
2/1/21,5.730306093,15.34879516,21.47050483,24.88853819,13.04755002
3/1/21,12.53690629,20.16712579,22.75432061,25.95738639,22.75765226
4/1/21,12.51421636,19.2146276,23.24863992,23.63302445,15.81023666
5/1/21,12.00761133,17.01646266,17.98766542,19.48769109,13.86062391
6/1/21,12.13112157,18.04955572,18.88261342,19.97527133,12.34801065
7/1/21,7.516134478,16.11556444,19.9139744,18.93397581,11.94325111
8/1/21,12.67043676,18.51676565,19.22741153,20.76498382,14.16671028
9/1/21,11.20900681,16.14623494,18.48062224,19.34818528,11.88801236
10/1/21,15.47464818,18.07717733,19.52790719,19.42860711,12.55530966
11/1/21,12.07590844,18.34562757,17.16248364,17.04738229,10.20454928
12/1/21,13.49528698,15.09651465,16.98880297,16.31974292,8.879761216
1/1/22,13.3475363,13.78362795,15.44288125,13.39384898,13.18015319
2/1/22,11.50619549,13.90822158,12.49050783,11.9180997,7.980790591
3/1/22,12.54115647,17.01070237,15.85162796,14.01028488,10.56653892
4/1/22,11.43110526,15.65081115,14.41940918,14.20652639,10.87033224
5/1/22,7.206441244,14.4463062,13.67431969,13.59769789,8.709640829
6/1/22,9.434806939,14.35224518,13.73495051,13.09276901,7.495686563
7/1/22,,,,,